Entry Number	Album Type	Album Name	Artist	Featured Artists	Song Name	Genre	Release Year	Preview URL
0	album	Weezer (White Album)	Weezer	None	Thank God for Girls	pop rock	2016	https://p.scdn.co/mp3-preview/33cd42e2f06b0959901dc6b7052dd6bcb05d30c0
1	single	Hero	Weezer	None	Hero	pop rock	2020	https://p.scdn.co/mp3-preview/b80c8433159195f654287273ea1bc981ff50b539
2	single	Reflection	Makari	None	Reflection	pop punk	2020	https://p.scdn.co/mp3-preview/9f2707403f73fc12f0844dc3a7d619c89f1eecd0
3	single	Bombegranate	Berried Alive	None	Bombegranate	djent	2020	https://p.scdn.co/mp3-preview/0fa174b438e5a71db9b4731acd1ce341193b9f48
4	album	Raised in a Doomsday Cult	Good Tiger	None	Ghost Vomit	djent	2020	https://p.scdn.co/mp3-preview/9714b215415ce8793416bc12712defcb0f008276
5	album	Empty Black	Greyhaven	None	Echo and Dust Pt. I	progressive metalcore	2018	https://p.scdn.co/mp3-preview/1f0aa582e90585186efccbc7fc9937405573e952
6	single	Let Go	Makari	None	Let Go	pop punk	2020	https://p.scdn.co/mp3-preview/97c2ed98354e2808e5bc5bb0e83fea59754f0f7b
7	album	The Ritual	King Mothership	None	Cosmic Meltdown	None	2020	https://p.scdn.co/mp3-preview/5cde556cbd631adbc120063cb8c57b1920b708ad
8	single	Awe at All Angles (Acoustic)	Moon Tooth	None	Awe at All Angles - Acoustic	proggressive metal	2020	https://p.scdn.co/mp3-preview/dc2fd44890a84ed78898c0287e9e8321305d879b
9	single	I Can't Remember Love	Anna Hauss	Robert Wienroder, William Horberg	I Can't Remember Love	None	2020	https://p.scdn.co/mp3-preview/894f86cdb510d4833498fffeb73be9f1cd901878
10	album	19	Adele	None	Make You Feel My Love	pop	2008	https://p.scdn.co/mp3-preview/5b3bfc4c3b98df595f623e86bc0296016030ce20
11	album	Freeze Frame	The J. Geils Band	None	Centerfold	classic rock	1981	https://p.scdn.co/mp3-preview/e5360d177e1076cdf32a915a9e062bc4172a16c7
12	album	Freeze Frame	The J. Geils Band	None	Freeze-Frame	classic rock	1981	https://p.scdn.co/mp3-preview/053a851d0603554752be64c2601d38eb6b7024c0
13	album	1000 gecs and The Tree of Clues	100 gecs	Fall Out Boy, Craig Owens, Nicole Dollanganger	hand crushed by a mallet (Remix)	hyperpop	2020	https://p.scdn.co/mp3-preview/a5ed1b06ace4e5035c1a7e9d43871c84b8c11484
14	single	Running Out (Live From The Studio)	Astrid S	None	Running Out - Live From The Studio	electropop	2016	https://p.scdn.co/mp3-preview/bb9d2ea7ac5224c9507e9190900b2ca2cadf8e83
15	single	Real	Unprocessed	Tim Henson, Clay Gober	Real	djent	2020	https://p.scdn.co/mp3-preview/3011a4d543fca575e3f89bdb80f80c559161a96c
16	single	The Eyes on You	Hotel Mira	None	The Eyes on You	modern alternative rock	2019	https://p.scdn.co/mp3-preview/877a6d5f19769e9221b4f97047243ab825a21663
17	album	Circulation	Hotel Mira	None	Southern Comforting	modern alternative rock	2014	https://p.scdn.co/mp3-preview/d3fe9a538d3e3423e86ecfd8c03f1d6a4355ccb0
18	album	XX	Great Big Sea	None	Consequence Free	celtic rock	2012	https://p.scdn.co/mp3-preview/f3e623f6916efd8c400465a2ae247ed732440864
19	album	Safe Upon The Shore	Great Big Sea	None	Follow Me Back	celtic rock	2010	https://p.scdn.co/mp3-preview/0d0367622f85d8f923cac41d51b97d7806f7f75d
20	album	Great Big Sea	Great Big Sea	None	I'se the B'y	celtic rock	1993	https://p.scdn.co/mp3-preview/edfb9e188332a083eef6f8b21415d5bc68ec2a2a
21	album	Play	Great Big Sea	None	When I'm Up - I Can't Get Down	celtic rock	1995	https://p.scdn.co/mp3-preview/18e7994b4ee5235aa42d9e407f8928e2b9dc8772
22	album	Dopamine	BORNS	None	American Money	modern rock	2015	https://p.scdn.co/mp3-preview/2ba6a35f2a3d5aceec84dacb39d7d2a0d6c4eb37
23	album	Honeymoon	Beach Bunny	None	Cloud 9	indie pop	2020	https://p.scdn.co/mp3-preview/05e93e38ccd5d6a113d433bc7c2235592db0cfb4
24	album	Montgomery Ricky	Ricky Montgomery	None	Line Without a Hook	indie pop	2016	https://p.scdn.co/mp3-preview/f33b9063e8da2ccbc4f842fdd4319ecdadfe5868
25	album	Cosmicandy	The Orion Experience	None	The Cult of Dionysus	stomp pop	2006	https://p.scdn.co/mp3-preview/cbc5b980858476e8b75216cc864f40dcd6665976
26	album	Bigger Than Both Of Us	Daryl Hall & John Oates	None	Rich Girl	classic rock	1976	https://p.scdn.co/mp3-preview/90fabcf68d0219dd17e5f5b4742bc524d738e5fb
27	single	Float	Call Me Karizma	None	Float	emo rap	2020	https://p.scdn.co/mp3-preview/a7e722c545b9bee2b8ca531f7ffcf3c5e8a3efb9
28	album	Sordid Pink	Sordid Pink	None	Drive	None	2020	https://p.scdn.co/mp3-preview/0424609e90dd664abb07e3931c081a31ffe8eff2
29	album	AMOK	Atoms For Peace	None	Ingenue	electronic rock	2013	https://p.scdn.co/mp3-preview/4358632cce8e87b6d44896a40d55cc246c9973e9
30	album	Down To Earth	Flight Facilities	Giselle	Crave You	alternative dance	2014	https://p.scdn.co/mp3-preview/1e4f201d4d9cc2700fd15b8bb6a2c6674784b01f
31	single	Saint Bernard	Lincoln	None	Saint Bernard	indie pop	2020	https://p.scdn.co/mp3-preview/44821cad1ce1c648a19013cce1ef050e108df04e
32	album	Fashionably Late (Deluxe Edition)	Falling In Reverse	None	Bad Girls Club	pop punk	2013	https://p.scdn.co/mp3-preview/5c5ef0206c3450d715948985b42a8f74213f2168
33	album	Mmhmm	Relient K	None	Who I Am Hates Who I've Been	pop rock	2004	https://p.scdn.co/mp3-preview/3349e0cac3dd3eaea3638ba72599418fcc90a6cf
34	album	21	Adele	None	One and Only	pop	2011	https://p.scdn.co/mp3-preview/f3008cce692787ee02169221f60d357d707e4705
35	single	Thumbnail	Louie Zong	Brian David Gilbert	Thumbnail	None	2018	https://p.scdn.co/mp3-preview/1cf1229e174b4346340f2b8143dc9f078ae53fee
36	single	Ghost Duet	Louie Zong	None	Ghost Duet	None	2017	https://p.scdn.co/mp3-preview/1b2393ace8a088787c041174870eeae5813c0bb6
37	album	After The Party	The Menzingers	None	Your Wild Years	pop punk	2017	https://p.scdn.co/mp3-preview/84ee1998c16f1e3e6aa8ec3cbe97da3a8d942e06
38	album	Pkew Pkew Pkew	Pkew Pkew Pkew	None	Mid 20's Skateboarder	indie punk	2016	https://p.scdn.co/mp3-preview/26ef38f754919f625dd667dd52404d74791316b7
39	album	Not Like This	Iron Chic	None	Cutesy Monster Man	indie punk	2010	https://p.scdn.co/mp3-preview/cc6400cfb35d29885fa47f15a3afabedd1bbe3bd
40	album	Loop Daddy III	Marc Rebillet	None	Girl's Club	None	2020	https://p.scdn.co/mp3-preview/67383747933964b37baa7608a3c433040382155d
41	album	1000 gecs	100 gecs	Laura Les, Dylan Brady	stupid horse	hyperpop	2019	https://p.scdn.co/mp3-preview/4c3aef74f90d4f6921b282cc34b4d18ae032bdc0
42	album	The Gloomy Tapes, Vol. 2	Call Me Karizma	None	Rebels	emo rap	2019	https://p.scdn.co/mp3-preview/e2d36114338bad011118435910eda63951150d82
43	album	1000 gecs	100 gecs	Laura Les, Dylan Brady	ringtone	hyperpop	2019	https://p.scdn.co/mp3-preview/fc99fc7b40f7258dde7291a93e42ec9e176c8fda
44	album	1000 gecs	100 gecs	Laura Les, Dylan Brady	money machine	hyperpop	2019	https://p.scdn.co/mp3-preview/c2daaf55e5a1726da4b2d191108c6089fb59a7d4
45	album	Entertainment	Waterparks	None	Blonde	pop punk	2018	https://p.scdn.co/mp3-preview/afea3bb5c90744119010a2e180552439f2dbbc0a
46	album	Omniscience	DEMATERIALIZE	Notions	Summer	american metalcore	2020	https://p.scdn.co/mp3-preview/c809ead252dce51fe3ac27718c843cc8c9428a4d
47	single	E-GIRLS ARE RUINING MY LIFE!	CORPSE	Savage Ga$p	E-GIRLS ARE RUINING MY LIFE!	None	2020	https://p.scdn.co/mp3-preview/c963d7fa7286d547b586f67517c8cc20178f0ee6
48	album	Lucy Gray	Envy On The Coast	None	Sugar Skulls	pop punk	2007	https://p.scdn.co/mp3-preview/648d2ac3c84571929b76cbe5315cc7d99c6529d3
49	compilation	Mean Girls (Original Broadway Cast Recording)	Taylor Louderman	Original Broadway Cast of Mean Girls	World Burn	broadway	2018	https://p.scdn.co/mp3-preview/569e086e8ec4303cf26fae27346e8344e0fd8284
50	single	Better off Together	The Reign of Kindo	None	Better off Together	progressive post-hardcore	2020	https://p.scdn.co/mp3-preview/5ffa55355f802ed0d203efafb6363944431bde47
51	single	Take Me Away	Ayron Jones	None	Take Me Away	seattle indie	2020	https://p.scdn.co/mp3-preview/ac7c2816f15d17ea99554e9844018bfd33b32f47
52	single	Do It for Me	Rosenfeld	None	Do It for Me	None	2018	https://p.scdn.co/mp3-preview/5a9adf7f47e3c0fa7944d6c6550cc11523ba5cb2
53	album	A Lesson In Romantics	Mayday Parade	None	Black Cat	pop punk	2007	https://p.scdn.co/mp3-preview/33bd80994e032f01028b9c43c45a1f65310d20d9
54	album	Love Is a Four Letter Word (Deluxe Edition)	Jason Mraz	None	I Won't Give Up	acoustic pop	2012	https://p.scdn.co/mp3-preview/1fc135f92f01b35c3c03b4dea2ca13ee15b5427d
55	single	Wolf in Sheep's Clothing (Acoustic)	Set It Off	None	Wolf In Sheep's Clothing - Acoustic	pop punk	2019	https://p.scdn.co/mp3-preview/09474ee6e374d46965c27897c2ad1bd45711f7dc
56	album	Ever After	Marianas Trench	None	B Team	pop punk	2012	https://p.scdn.co/mp3-preview/922bc0931c55338b4cd7eedef67ba09e93fe7ca0
57	single	Follow the Sun	Caroline Pennell	None	Follow the Sun	indie poptimism	2016	https://p.scdn.co/mp3-preview/25d2eb6434f0f8c354cb296f2f34ae88174ec034
58	album	Monuments And Melodies	Incubus	None	Stellar	pop rock	2009	https://p.scdn.co/mp3-preview/a6717f6a48ec8555ffdaa3cf04a30dd4f2de115d
59	album	The Drug In Me Is You	Falling In Reverse	None	I'm Not A Vampire	pop punk	2011	https://p.scdn.co/mp3-preview/c46e619124ebe52927af4053b145eca349c7c20d
60	album	Rain In July	Neck Deep	None	A Part Of Me	pop punk	2013	https://p.scdn.co/mp3-preview/a9666bd1c96de0e73d8e5559fdd35763c0616c0e
61	album	A Lesson In Romantics	Mayday Parade	None	Jersey	pop punk	2007	https://p.scdn.co/mp3-preview/770156be9da569f6bb49d0675b1c86215936fd19
62	single	Popular Monster	Falling In Reverse	None	Popular Monster	pop punk	2019	https://p.scdn.co/mp3-preview/18707ef9fd54e5d0f14bbc69304284b2af44307c
63	album	Symphony Soldier	The Cab	None	Temporary Bliss	pop rock	2011	https://p.scdn.co/mp3-preview/72a4562263d053d7ccdc6276dc088f47fddf35d3
64	album	Disease	Beartooth	None	Disease	post-screamo	2018	https://p.scdn.co/mp3-preview/9425cff32792b9a8e03ba41ee5a2c704957f51cf
65	album	Just Like You (Deluxe Edition)	Falling In Reverse	None	Just Like You	pop punk	2015	https://p.scdn.co/mp3-preview/5a5249a343fa22911c47025ecc6f01d343c1ba77
66	album	A Fever You Can't Sweat Out	Panic! At The Disco	None	Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off	pop punk	2005	https://p.scdn.co/mp3-preview/97a3af44edbcbd780ac66a3c4c5060a1288e0daa
67	single	Black in Every Color	Happy Hour	None	Black in Every Color	progressive post-hardcore	2019	https://p.scdn.co/mp3-preview/c51a1aa15eec0e6779bbb700483d3fd8600fa6cb
68	album	Stars	Shapeshifter NZ	None	Oculus	None	2016	https://p.scdn.co/mp3-preview/07eec630f9f965019833d9bfa901672f13deeeb3
69	single	I'm Too Sensitive For This Shit	Hayley Kiyoko	None	Demons	dance pop	2019	https://p.scdn.co/mp3-preview/e32a0ac823411d0319a78f8119c1b4b4a5e167ee
70	album	10,000 Days	TOOL	None	Jambi	progressive metal	2006	https://p.scdn.co/mp3-preview/8f5bb510159aa128296873a108e85ecdac51e452
71	album	Megalithic Symphony Deluxe	AWOLNATION	None	Sail	pop rock	2011	https://p.scdn.co/mp3-preview/9a7c9ece7575d0bce24d8a24c0f35f48853655cb
72	album	Death of a Bachelor	Panic! At The Disco	None	Victorious	pop punk	2016	https://p.scdn.co/mp3-preview/1f5f24f8f0dfa6d3b7baea9c5fa9c45278abbe35
73	album	Stunt (20th Anniversary Edition)	Barenaked Ladies	None	It's All Been Done	pop rock	1998	https://p.scdn.co/mp3-preview/a4a8aa00ecdf8a9f49c956bd6e42c8a4590bb570
74	single	One Big Bed	Emily Axford	None	One Big Bed	None	2020	https://p.scdn.co/mp3-preview/012e2f9da365e0e90415b342945921e1ca5edf26
75	single	BAD KARMA	Gabbie Hanna	None	Bad Karma	pop	2020	https://p.scdn.co/mp3-preview/c4a0e698b7fbc63812f09f85c62144ae550e8f24
76	single	Wish We Never Met	WhoHurtYou	None	Wish We Never Met	None	2019	https://p.scdn.co/mp3-preview/924bee9cee0f4a1a4b45c2af67f3a95de0d12191
77	single	What Happens When I Try to Relax	Open Mike Eagle	None	Microfiche	abstract hip hop	2018	https://p.scdn.co/mp3-preview/0f3056ffa556b25d87c314e29482583606858706
78	album	Placement	Watsky	None	Advanced Placement	pop rap	2020	https://p.scdn.co/mp3-preview/2bc233b9191492b4c0a5e3bb7ff970d549dac7cf
79	album	Hokey Fright (Deluxe Version)	The Uncluded	None	Bats	abstract hip hop	2013	https://p.scdn.co/mp3-preview/5650efdfc9d577898a75439b05d65e0a492aabd9
80	single	Cooped Up	Spose	Ekoh	Cooped Up	indie pop rap	2020	https://p.scdn.co/mp3-preview/177e8272e06369e2dea638e3e05c92217a4418e8
81	album	Infinity Rock Explosion!	The Axis of Awesome	None	WWJD?	comic	2010	https://p.scdn.co/mp3-preview/77992ccae8c0d421163d5800be61aca922dd501c
82	album	Secretions	Garfunkel and Oates	None	The Loophole	comic	2015	https://p.scdn.co/mp3-preview/b41e9eeee4684eb620705c15a6d05c88c6836e85
83	album	Cosmic Thing	The B-52's	None	Love Shack	new wave pop	1989	https://p.scdn.co/mp3-preview/33813193c01f1c42416b328c7f5f3116cb603865
84	album	Big Vibe	Seaway	None	Big Vibe	pop punk	2020	https://p.scdn.co/mp3-preview/db563a4d1e426ad4766508d0a37368806a9b98fc
85	album	Onka's Big Moka	Toploader	None	Dancing in the Moonlight	british alternative rock	2000	https://p.scdn.co/mp3-preview/d4a0e1cd08839a722f4f2af160aabac07371ecd2
86	album	The Black Parade	My Chemical Romance	None	Dead!	pop punk	2006	https://p.scdn.co/mp3-preview/061be493ff5bc095746c9f78d9638e430e99721f
87	album	Picture Perfect	Every Avenue	None	Tell Me I'm A Wreck	pop punk	2009	https://p.scdn.co/mp3-preview/5a7fb88d7c36a1377d259d391d4c9daf95a43e3a
88	album	folklore	Taylor Swift	None	mad woman	pop	2020	https://p.scdn.co/mp3-preview/b852d95b5513744c01ec695e93bcc33f025ecd7b
89	single	Don't Be Sad	Scotty Sire	None	Don't Be Sad	social media pop	2020	https://p.scdn.co/mp3-preview/92834c4254f25b6891d5026e1245c1f104a894e7
90	album	FANDOM	Waterparks	None	I Miss Having Sex But At Least I Don't Wanna Die Anymore	pop punk	2019	https://p.scdn.co/mp3-preview/92dba1ec32d88cd6b53a3b8881d3f0eed0e5797d
91	single	Broke Bitch	Tiny Meat Gang	None	Broke Bitch	meme rap	2020	https://p.scdn.co/mp3-preview/80c352f861302c587809927cb5a04dbfad29d7ff
92	album	Double Dare	Waterparks	None	Stupid for You	pop punk	2016	https://p.scdn.co/mp3-preview/592ce72991fcdf807d81da015816e7a7101cb2c2
93	album	Entertainment	Waterparks	None	Blonde	pop punk	2018	https://p.scdn.co/mp3-preview/afea3bb5c90744119010a2e180552439f2dbbc0a
94	album	From Under The Cork Tree	Fall Out Boy	None	Sugar, We're Goin Down	pop punk	2005	https://p.scdn.co/mp3-preview/95a3a58e7d6dbd9f48cae8506584bcc4d1cfa558
95	single	Alaska	Little Hurt	None	Alaska	None	2020	https://p.scdn.co/mp3-preview/dd51236602a062950c35016acfdacd51bc622cce
