Entry Number	Album Type	Album Name	Artist	Featured Artists	Song Name	Genre	Release Year	Preview URL
176	album	Why You Wanna Leave, Runaway Queen?	Lisa LeBlanc	None	5748 Km	canadian folk	2016	https://p.scdn.co/mp3-preview/0229d12ac51a520b65915a4082400d416ab5ff91
177	album	The Head and the Heart	The Head and the Heart	None	Rivers and Roads	indie folk	2011	https://p.scdn.co/mp3-preview/cbf9d2b89581a19529b5f35bd7f42cb75bb75fa6
178	album	Surf	Donnie Trumpet & The Social Experiment	None	Sunday Candy	pop soul	2015	https://p.scdn.co/mp3-preview/7a6944ec3bd4bd1ea1a5a27cc15ef81fe229a707
179	album	In Absentia	Porcupine Tree	None	Trains	progressive metal	2002	https://p.scdn.co/mp3-preview/486068fcd65339b8e41f2002036dab20caeb5488
180	album	Portal of I	Ne Obliviscaris	None	Forget Not	progressive metal	2012	https://p.scdn.co/mp3-preview/5dd0f53460081468953a01bfff6232e0d88c6f82
181	album	The Big Come Up	The Black Keys	None	Do The Rump	alternative rock	2002	https://p.scdn.co/mp3-preview/c33ac58a0bd1d4835742e9c32316aef914acdb0b
182	single	Cathedral Bell	The Used	None	Cathedral Bell	pop punk	2020	https://p.scdn.co/mp3-preview/c734b03eee964462147c928fb0414f964ce679ef
183	album	Zombies! Aliens! Vampires! Dinosaurs!	Hellogoodbye	None	Homewrecker	pop punk	2006	https://p.scdn.co/mp3-preview/d7a19d1667a2e87d4137099ff9a0e2f08442a06b
184	album	Freedom Finger (Music from the Game)	Aesop Rock	None	Play Dead	hip hop	2020	https://p.scdn.co/mp3-preview/6cddada5a0e8d8b624d3f918a05cdbfa5d18aad1
185	single	Lyrics Lie	Dance Gavin Dance	None	Strawberry's Wake	pop punk	2020	https://p.scdn.co/mp3-preview/b432a5d30bbb950b943ab84251e7faf5f12e898e
186	album	Haus Party, Pt. 2	Todrick Hall	None	Y.A.S.	dance pop	2019	https://p.scdn.co/mp3-preview/3e3a9b7f471de47910d830a00c42bde980ea629f
187	single	Magic Happens (From 'The Disneyland Parade, Magic Happens')	Todrick Hall	None	Magic Happens - From 'The Disneyland Parade, Magic Happens'	dance pop	2020	https://p.scdn.co/mp3-preview/336e3b9243a6571fe572ac6b2995a35104c76363
188	single	Prosthetic	Haken	None	Prosthetic	progressive metal	2020	https://p.scdn.co/mp3-preview/91fa9ed5fc9b78551e5dc5498d417838d2f1193e
189	single	The Cherrytree Sessions	Matthew Koma	None	Clarity - Live At The Cherrytree House\2013	pop edm	2013	https://p.scdn.co/mp3-preview/1d55c02a38ab1bdb4d08c5cba2425f6424b6956d
190	album	Nicotine	Trevor Daniel	None	Lovesick	pop rap	2020	https://p.scdn.co/mp3-preview/b8b8a7540be3e74d295f469ee773cf15f1987c7d
191	album	Future Nostalgia	Dua Lipa	None	Future Nostalgia	dance pop	2020	https://p.scdn.co/mp3-preview/3a6c52b19be10e310d3d06c1fd832c2904f320f7
192	album	Instant Gratification	Dance Gavin Dance	None	Death Of A Strawberry	pop punk	2015	https://p.scdn.co/mp3-preview/a3bab2c85a055518ed1ab8d2229dcac175e24329
193	album	Future Nostalgia	Dua Lipa	None	Pretty Please	dance pop	2020	https://p.scdn.co/mp3-preview/ba8c271318b692e780a0a2799202b18e1cbf4e1e
194	album	Future Nostalgia	Dua Lipa	None	Levitating	dance pop	2020	https://p.scdn.co/mp3-preview/15e65d052d726b0b7dd4bbff82a02a0537e3995b
195	single	Oil in Water	I The Mighty	None	The Hound and the Fox	pop punk	2016	https://p.scdn.co/mp3-preview/7f847a5dabc17a2aace82ce3433adbc601bf8811
196	album	Melodie	Cro	None	Traum	pop rap	2014	https://p.scdn.co/mp3-preview/0c6dd36b869af139baea4b201d9c2b68054d4eb7
